Date,Price,Open,High,Low,Vol.,Change %
08/16/2020,137.44,134.94,138.10,134.66,31.16M,1.73%
08/09/2020,135.10,133.70,135.97,132.79,27.90M,1.16%
08/02/2020,133.55,130.47,134.65,130.47,30.10M,1.85%
07/26/2020,131.12,125.71,132.03,125.54,39.70M,4.10%
07/19/2020,125.96,125.47,127.77,124.21,28.01M,0.26%
07/12/2020,125.63,124.00,126.90,123.34,30.93M,1.40%
07/05/2020,123.89,121.77,124.50,120.88,31.48M,2.49%
06/28/2020,120.88,116.51,122.57,116.35,27.34M,4.90%
06/21/2020,115.23,118.78,119.19,115.04,46.28M,-3.10%
06/14/2020,118.92,114.55,121.82,113.76,47.04M,2.85%
06/07/2020,115.62,117.44,119.89,115.26,36.10M,-2.29%
05/31/2020,118.33,116.00,119.19,115.26,31.84M,2.08%
05/24/2020,115.92,114.15,116.99,111.68,33.29M,2.95%
05/17/2020,112.60,116.03,116.99,111.43,36.79M,-1.75%
05/10/2020,114.61,115.75,116.01,111.25,43.00M,-1.16%
05/03/2020,115.95,117.09,117.26,111.82,37.00M,-0.74%
04/26/2020,116.82,119.19,119.19,115.08,46.69M,-1.65%
04/19/2020,118.78,121.47,123.23,118.05,60.59M,-4.74%
04/12/2020,124.69,113.61,124.99,113.16,60.51M,8.75%
04/05/2020,114.66,117.00,120.06,111.86,56.60M,-0.36%
03/29/2020,115.08,113.90,115.90,107.00,64.30M,4.46%
03/22/2020,110.17,100.19,114.29,94.34,78.06M,7.56%
03/15/2020,102.43,101.75,121.50,101.00,96.31M,-10.20%
03/08/2020,114.07,115.27,120.82,101.00,79.36M,-6.24%
03/01/2020,121.66,113.19,124.69,112.55,53.55M,7.45%
02/23/2020,113.23,125.26,126.58,106.67,59.42M,-10.63%
02/16/2020,126.70,125.83,128.07,124.65,26.32M,0.44%
02/09/2020,126.14,126.46,126.83,122.85,30.40M,0.05%
02/02/2020,126.08,124.66,128.09,124.49,33.71M,1.17%
01/26/2020,124.62,124.75,126.98,124.42,33.32M,-0.42%
01/19/2020,125.14,126.41,126.79,123.65,36.56M,-1.00%
01/12/2020,126.41,124.00,127.00,123.81,38.63M,1.97%
01/05/2020,123.97,122.57,124.32,121.87,29.52M,1.13%
12/29/2019,122.58,125.76,125.98,121.86,24.30M,-2.78%
12/22/2019,126.09,125.52,126.29,124.58,18.60M,0.58%
12/15/2019,125.36,125.47,126.60,123.69,48.60M,-0.09%
12/08/2019,125.47,124.31,125.76,123.79,28.41M,1.03%
12/01/2019,124.19,121.94,125.45,120.96,33.68M,1.75%
11/24/2019,122.06,120.44,122.63,120.02,20.05M,1.47%
11/17/2019,120.29,120.25,122.78,119.39,31.47M,-0.21%
11/10/2019,120.54,119.48,121.17,118.54,28.19M,0.70%
11/03/2019,119.70,123.92,123.92,118.24,39.51M,-3.37%
10/27/2019,123.87,123.48,125.45,122.60,28.26M,0.50%
10/20/2019,123.25,117.42,125.77,117.35,42.88M,4.92%
10/13/2019,117.47,121.62,121.62,116.17,41.57M,-2.99%
